ID,Date,Start Time,End Time,Duration
1,17-12-12,14:00,17:00,3:00
2,17-12-11,14:00,16:00,2:00
3,17-12-18,9:00,12:00,3:00
4,17-12-07,14:00,16:00,2:00
5,17-12-07,14:00,16:00,2:00
6,17-12-13,9:00,12:00,3:00
7,17-12-16,14:00,16:30,2:30
8,17-12-13,14:00,16:00,2:00
9,17-12-10,14:00,16:00,2:00
10,17-12-11,14:00,16:30,2:30
11,17-12-12,14:00,16:00,2:00
12,17-12-08,19:00,21:00,2:00
13,17-12-13,9:00,11:30,2:30
14,17-12-08,14:00,17:00,3:00
15,17-12-07,14:00,16:00,2:00
16,17-12-11,9:00,11:00,2:00
17,17-12-15,14:00,16:00,2:00
18,17-12-07,14:00,16:00,2:00
19,17-12-15,19:00,21:00,2:00
20,17-12-18,14:00,16:00,2:00
21,17-12-19,19:00,21:00,2:00
22,17-12-12,19:00,22:00,3:00
23,17-12-10,14:00,15:40,1:40
24,17-12-12,14:00,16:50,2:50
25,17-12-09,19:00,21:00,2:00
26,17-12-19,9:00,11:00,2:00
27,17-12-07,19:00,22:00,3:00
28,17-12-15,19:00,22:00,3:00
29,17-12-13,9:00,11:00,2:00
30,17-12-09,14:00,17:00,3:00
31,17-12-19,9:00,12:00,3:00
32,17-12-18,14:00,17:00,3:00
33,17-12-11,9:00,12:00,3:00
34,17-12-15,19:00,21:30,2:30
35,17-12-07,19:00,21:00,2:00
36,17-12-11,9:00,11:00,2:00
37,17-12-19,14:00,16:00,2:00
38,17-12-12,9:00,11:50,2:50
39,17-12-08,19:00,22:00,3:00
40,17-12-18,14:00,16:50,2:50
41,17-12-13,9:00,11:50,2:50
42,17-12-10,14:00,17:00,3:00
43,17-12-14,9:00,12:00,3:00
44,17-12-08,9:00,12:00,3:00
45,17-12-19,14:00,17:00,3:00
46,17-12-18,9:00,12:00,3:00
47,17-12-14,14:00,16:50,2:50
48,17-12-07,19:00,22:00,3:00
49,17-12-09,14:00,17:00,3:00
50,17-12-20,9:00,12:00,3:00
51,17-12-08,19:00,22:00,3:00
52,17-12-08,19:00,22:00,3:00
53,17-12-14,9:00,12:00,3:00
54,17-12-12,9:00,12:00,3:00
55,17-12-11,19:00,22:00,3:00
56,17-12-09,9:00,11:00,2:00
57,17-12-15,9:00,12:00,3:00
58,17-12-07,9:00,12:00,3:00
59,17-12-11,14:00,16:00,2:00
60,17-12-18,9:00,11:00,2:00
61,17-12-12,9:00,11:00,2:00
62,17-12-14,9:00,12:00,3:00
63,17-12-09,19:00,21:00,2:00
64,17-12-11,9:00,11:00,2:00
65,17-12-15,9:00,11:00,2:00
66,17-12-19,14:00,16:00,2:00
67,17-12-18,19:00,22:00,3:00
68,17-12-13,14:00,17:00,3:00
